Nombre,Marca,Tipo de aroma,Intensidad,Ocasión,Notas,Precio (€),Imagen (URL),Dupe barato,Enlace dupe,Género,Enlace original
Libre,Yves Saint Laurent,Floral,Moderada,Oficina/Otoño,"Lavanda, Jazmín, Azahar",98,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.56077.jpg,Zara Golden Decade,https://www.zara.com/es/es/golden-decade-80-ml-p20210330.html,Mujer,https://amzn.to/3K7sYq9
Sauvage Elixir,Dior,Amaderado,Intensa,Noche/Invierno,"Canela, Nuez moscada, Cardamomo",140,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.68415.jpg,Lattafa Asad,https://amzn.to/4aWAdU9,Hombre,https://amzn.to/3K5aipM
Terre d'Hermès,Hermès,Amaderado,Moderada,Oficina/Diario,"Naranja, Pomelo, Pimienta",100,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.17.jpg,Maison Alhambra The Artist No. 2,https://amzn.to/3wY7F81,Hombre,https://amzn.to/4d4h2dI
Dior Homme Intense,Dior,Floral,Intensa,Noche/Citas,"Iris, Vainilla, Cedro",115,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.13016.jpg,Maison Alhambra Woody Oud,https://amzn.to/4d11q9t,Hombre,https://amzn.to/4b1DBp7
The One for Men,Dolce & Gabbana,Oriental,Intensa,Noche/Citas,"Pomelo, Jengibre, Tabaco",90,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.31909.jpg,Maison Alhambra The Tux,https://amzn.to/3wX8vUb,Hombre,https://amzn.to/3y4gN9C
Black Orchid,Tom Ford,Oriental,Intensa,Noche/Invierno,"Trufa, Gardenia, Orquídea",140,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.1018.jpg,Maison Alhambra Orchid Noir,https://amzn.to/3wWJdjp,Unisex,https://amzn.to/4aZvvds
By the Fireplace,Maison Margiela,Amaderado,Intensa,Noche/Invierno,"Clavo, Castaña, Vainilla",115,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.31623.jpg,Maison Alhambra Kismet Angel,https://amzn.to/4aYhB8g,Unisex,https://amzn.to/4aYhCqF
Tobacco Vanille,Tom Ford,Oriental,Intensa,Noche/Invierno,"Tabaco, Vainilla, Cacao",200,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/TomFordTobaccoVanille_0d35f2f7-0fcb-48f7-aa7c-82df5686771e.jpg,Maison Alhambra Tobacco Touch,https://amzn.to/4aZv8k5,Unisex,https://amzn.to/4aWzP9v
Oud Wood,Tom Ford,Amaderado,Intensa,Noche/Otoño,"Palo de rosa, Cardamomo, Oud",180,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.89988.jpg,Maison Alhambra Woody Oud,https://amzn.to/4d11q9t,Unisex,https://amzn.to/4b1DImk
Light Blue,Dolce & Gabbana,Cítrico,Moderada,Diario/Verano,"Limón, Bambú, Manzana",78,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/208671-2.jpg,Maison Alhambra Versencia Oro,https://amzn.to/3wX8F9s,Mujer,https://amzn.to/4aZvB9z
J'adore,Dior,Floral,Moderada,Diario/Primavera,"Ylang-Ylang, Jazmín, Rosa",110,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.10371.jpg,Zara Rose,https://www.zara.com/es/es/rose-90-ml-p20210243.html,Mujer,https://amzn.to/3K7tl9S
Flowerbomb,Viktor & Rolf,Floral,Intensa,Noche/Otoño,"Té, Bergamota, Jazmín",105,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.1460.jpg,Divain-071,https://divainparfums.es/products/divain-071-perfume-equivalente-a-flowerbomb-de-viktor-rolf,Mujer,https://amzn.to/4d41E0z
Si,Giorgio Armani,Chipre,Moderada,Oficina/Diario,"Cassis, Fresia, Rosa",100,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/armani-si-edp.jpg,Divain-136,https://divainparfums.es/products/divain-136-perfume-equivalente-a-si-de-giorgio-armani,Mujer,https://amzn.to/3K5an7N
